Денситометрия позволяет предупредить остеопороз,http://www.happy-giraffe.ru/community/33/forum/post/31667/,+,+,,,,,,,,,,,,
Компьютерная томография брюшной полости: новое слово в диагностике,http://www.happy-giraffe.ru/community/33/forum/post/31674/,+,+,,,,,,,,,,,,
Мазок на цитологию: 5 популярных вопросов и ответы на них,http://www.happy-giraffe.ru/community/33/forum/post/31697/,+,+,,,,,,,,,,,,
КТ брюшной полости – что это такое и для чего это назначают?,http://www.happy-giraffe.ru/community/33/forum/post/31716/,+,+,,,,,,,,,,,,
Всё про анализ на прогестерон,http://www.happy-giraffe.ru/community/33/forum/post/32002/,+,+,,,,,,,,,,,,
Хилез крови,http://www.happy-giraffe.ru/community/33/forum/post/32297/,+,+,,,,,,,,,,,,
"Всё, что нужно знать про анализ крови на биохимию",http://www.happy-giraffe.ru/community/33/forum/post/32301/,+,+,,,,,,,,,,,,
Онкомаркеры. Что это?,http://www.happy-giraffe.ru/community/33/forum/post/32317/,+,+,,,,,,,,,,,,
Как измерить давление ПРАВИЛЬНО,http://www.happy-giraffe.ru/community/33/forum/post/32440/,+,+,,,,,,,,,,,,
"Эхокардиография сердца: назначение, особенности, результаты",http://www.happy-giraffe.ru/community/33/forum/post/32475/,+,+,,,,,,,,,,,,
"Просто о том, что такое иммуноферментный анализ крови",http://www.happy-giraffe.ru/community/33/forum/post/32495/,+,+,,,,,,,,,,,,
Норма билирубина в крови у мужчин,http://www.happy-giraffe.ru/community/33/forum/post/32539/,+,+,,,,,,,,,,,,
Анализ крови на гормоны: человек как на ладони,http://www.happy-giraffe.ru/community/33/forum/post/32596/,+,+,,,,,,,,,,,,
"Все, что нужно знать про анализ мокроты",http://www.happy-giraffe.ru/community/33/forum/post/32599/,+,+,,,,,,,,,,,,
"Анализ на половые инфекции: что, где и когда необходимо делать",http://www.happy-giraffe.ru/community/33/forum/post/32606/,+,+,,,,,,,,,,,,
"Компьютерная томография головного мозга: беременным, кормящим или детям разве можно?",http://www.happy-giraffe.ru/community/33/forum/post/32625/,+,+,,,,,,,,,,,,
Анализ крови на онкомаркеры: эффективная методика диагностики рака,http://www.happy-giraffe.ru/community/33/forum/post/32641/,+,+,,,,,,,,,,,,
Анализ ДГЭА,http://www.happy-giraffe.ru/community/33/forum/post/32650/,+,+,,,,,,,,,,,,
Компьютерная томография лёгких – что должен знать пациент?,http://www.happy-giraffe.ru/community/33/forum/post/32763/,+,+,,,,,,,,,,,,
Миография — что это такое?,http://www.happy-giraffe.ru/community/33/forum/post/32778/,+,+,,,,,,,,,,,,
Норма лейкоцитов в крови: о чем говорит их уровень,http://www.happy-giraffe.ru/community/33/forum/post/33274/,+,+,,,,,,,,,,,,
Бакпосев,http://www.happy-giraffe.ru/community/33/forum/post/33319/,+,+,,,,,,,,,,,,
Плазмаферез,http://www.happy-giraffe.ru/community/33/forum/post/33409/,+,+,,,,,,,,,,,,
СОЭ: норма у женщин,http://www.happy-giraffe.ru/community/33/forum/post/33488/,+,+,,,,,,,,,,,,
Антимюллеров гормон. Норма у женщин,http://www.happy-giraffe.ru/community/33/forum/post/33878/,+,+,,,,,,,,,,,,
Если тромбоциты повышены – что это значит и как понизить их уровень?,http://www.happy-giraffe.ru/community/33/forum/post/34585/,+,+,,,,,,,,,,,,
"Белок в моче: причины, симптомы, лечение",http://www.happy-giraffe.ru/community/33/forum/post/42020/,+,+,,,,,,,,,,,,
"Биопсия шейки матки: все, что нужно знать об этом исследовании",http://www.happy-giraffe.ru/community/33/forum/post/45395/,+,+,,,,,,,,,,,,
"А вам известно, какой сахар в крови — норма?",http://www.happy-giraffe.ru/community/33/forum/post/47321/,+,+,,,,,,,,,,,,
Высокий гемоглобин у женщин. Каковы причины и чем лечат?,http://www.happy-giraffe.ru/community/33/forum/post/49354/,+,+,,,,,,,,,,,,
Креатинин в крови повышен: проверьте почки,http://www.happy-giraffe.ru/community/33/forum/post/49422/,+,+,,,,,,,,,,,,
"Что делать, когда понижены тромбоциты?",http://www.happy-giraffe.ru/community/33/forum/post/50095/,+,+,,,,,,,,,,,,
Повышен гемоглобин в крови. Почему и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/50906/,+,+,,,,,,,,,,,,
"Откуда берется креатинин в крови, и сколько его там должно быть?",http://www.happy-giraffe.ru/community/33/forum/post/50958/,+,+,,,,,,,,,,,,
Маммография: а так ли она необходима?,http://www.happy-giraffe.ru/community/33/forum/post/51217/,+,+,,,,,,,,,,,,
Кольпоскопия – это здоровье и безопасность,http://www.happy-giraffe.ru/community/33/forum/post/51384/,+,+,,,,,,,,,,,,
Норма сахара в крови у мужчин: граница между патологией и нормой,http://www.happy-giraffe.ru/community/33/forum/post/51387/,+,+,,,,,,,,,,,,
"Как узнать, каким должен быть сахар в крови: норма у женщин",http://www.happy-giraffe.ru/community/33/forum/post/51768/,+,+,,,,,,,,,,,,
Что означают диффузные изменения печени и поджелудочной железы,http://www.happy-giraffe.ru/community/33/forum/post/56763/,+,+,,,,,,,,,,,,
Обнаружили желтое тело – что это означает?,http://www.happy-giraffe.ru/community/33/forum/post/58993/,+,+,,,,,,,,,,,,
Общий анализ крови: норма в старых и новых единицах,http://www.happy-giraffe.ru/community/33/forum/post/60022/,+,+,,,,,,,,,,,,
Диффузные изменения щитовидной железы: что это такое?,http://www.happy-giraffe.ru/community/33/forum/post/64623/,+,+,,,,,,,,,,,,
Повышенный гемоглобин у женщин: 6 популярных вопросов,http://www.happy-giraffe.ru/community/33/forum/post/64773/,+,+,,,,,,,,,,,,
Норма сахара в крови натощак: вариации возможны?,http://www.happy-giraffe.ru/community/33/forum/post/64782/,+,+,,,,,,,,,,,,
Печеночные пробы – расшифровка определит здоровье,http://www.happy-giraffe.ru/community/33/forum/post/93401/,+,+,,,,,,,,,,,,
Повышенные лимфоциты: что лечить будем?,http://www.happy-giraffe.ru/community/33/forum/post/93415/,+,+,,,,,,,,,,,,
Что такое гистология и зачем она нужна?,http://www.happy-giraffe.ru/community/33/forum/post/93505/,+,+,,,,,,,,,,,,
Гемоглобин 60 г\л — это опасно или в пределах нормы?,http://www.happy-giraffe.ru/community/33/forum/post/94774/,+,+,,,,,,,,,,,,
8 поводов для проведения маммографии молочных желез,http://www.happy-giraffe.ru/community/33/forum/post/96101/,+,+,,,,,,,,,,,,
"О чем говорит анализ на уровень ферритина, какова норма?",http://www.happy-giraffe.ru/community/33/forum/post/97057/,+,+,,,,,,,,,,,,
"6 заболеваний, о которых может свидетельствовать сдвиг лейкоцитарной формулы влево",http://www.happy-giraffe.ru/community/33/forum/post/97464/,+,+,,,,,,,,,,,,
Какова норма инсулина в крови и чем грозит ее отклонение?,http://www.happy-giraffe.ru/community/33/forum/post/97467/,+,+,,,,,,,,,,,,
Маммография: на какой день цикла делать,http://www.happy-giraffe.ru/community/33/forum/post/97866/,+,+,,,,,,,,,,,,
Простыми словами о кольпоскопии шейки матки,http://www.happy-giraffe.ru/community/33/forum/post/98785/,+,+,,,,,,,,,,,,
Вариант развития виллизиева круга: аномалия ли это?,http://www.happy-giraffe.ru/community/33/forum/post/98820/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Рубрика: Больницы, клиники, центры",Постов в рубрике: 1,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,,,,,,,,,,,,
Клиника «Ниармедик»: история создания и отзывы пациентов,http://www.happy-giraffe.ru/community/33/forum/post/96787/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Аллерголог (аллергические заболевания),Постов в рубрике: 19,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,,,,,,,,,,,,
Аллергия на тополиный пух,http://www.happy-giraffe.ru/community/33/forum/post/6414/,+,+,"
Пирогов Николай Иванович","Врач - иммунолог, аллерголог. Доктор медицинских наук.",Окончил Московский государственный университет имени М.В.Ломоносова,с 15 января 2012,,,,,,,,
Аллергический кашель: что делать и как предотвратить?,http://www.happy-giraffe.ru/community/33/forum/post/25521/,+,+,http://www.happy-giraffe.ru/user/433684/,,,,,,,,,,,
Как помочь при аллергии на укусы комаров?,http://www.happy-giraffe.ru/community/33/forum/post/25523/,+,+,,,,,,,,,,,,
Аллергия на солнце и примерные фото. Возможное лечение,http://www.happy-giraffe.ru/community/33/forum/post/25951/,+,+,,,,,,,,,,,,
Температура при аллергии,http://www.happy-giraffe.ru/community/33/forum/post/26607/,+,+,,,,,,,,,,,,
Как помочь при аллергии на укусы комаров?,http://www.happy-giraffe.ru/community/33/forum/post/28183/,+,+,,,,,,,,,,,,
Крапивница: лечение дома с разрешения врача,http://www.happy-giraffe.ru/community/33/forum/post/31709/,+,+,,,,,,,,,,,,
Аллергия на лице: что делать?,http://www.happy-giraffe.ru/community/33/forum/post/31793/,+,+,,,,,,,,,,,,
Виды крапивницы,http://www.happy-giraffe.ru/community/33/forum/post/32380/,+,+,,,,,,,,,,,,
"Аллергия на шерсть: причины, симптомы, лечение",http://www.happy-giraffe.ru/community/33/forum/post/32608/,+,+,,,,,,,,,,,,
Аллергия на холод – чем «порадуешь»?,http://www.happy-giraffe.ru/community/33/forum/post/40555/,+,+,,,,,,,,,,,,
Средства от аллергии: что следует знать?,http://www.happy-giraffe.ru/community/33/forum/post/43018/,+,+,,,,,,,,,,,,
Какая бывает аллергическая сыпь и как её лечат,http://www.happy-giraffe.ru/community/33/forum/post/48037/,+,+,,,,,,,,,,,,
Лечение крапивницы: холодовая аллергия,http://www.happy-giraffe.ru/community/33/forum/post/54597/,+,+,,,,,,,,,,,,
Гистамин — что это такое или Кто виноват в аллергической реакции?,http://www.happy-giraffe.ru/community/33/forum/post/55403/,+,+,,,,,,,,,,,,
Вазомоторный ринит: причины и методы нейтрализации,http://www.happy-giraffe.ru/community/33/forum/post/63856/,+,+,,,,,,,,,,,,
Эта противная аллергия на коже...,http://www.happy-giraffe.ru/community/33/forum/post/89563/,+,+,,,,,,,,,,,,
Аллергия на солнце: как взять ее под контроль и не испортить себе отпуск,http://www.happy-giraffe.ru/community/33/forum/post/90309/,+,+,,,,,,,,,,,,
"Укусила мошка, распухла нога: что делать?",http://www.happy-giraffe.ru/community/33/forum/post/101619/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Андролог (заболевания мужской половой сферы),Постов в рубрике: 3,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Емельянов Андрей Иванович   ,"Врач - уролог, андролог. Специалист высшей квалификационной категории.",Окончил Первый Московский государственный медицинский университет им. И.М.Сеченова,с 15 января 2012 ,,,,,,,,
Необходима ли мазь от молочницы для мужчин?,http://www.happy-giraffe.ru/community/33/forum/post/28210/,+,+,http://www.happy-giraffe.ru/user/433689/,,,,,,,,,,,
Лечение кандидоза у мужчин: 5 простых шагов к вожделенному результату,http://www.happy-giraffe.ru/community/33/forum/post/54598/,+,+,,,,,,,,,,,,
Астенозооспермия – что это такое и как определяется?,http://www.happy-giraffe.ru/community/33/forum/post/55365/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Рубрика: Венеролог (заболевания, передающиеся половым путем)",Постов в рубрике: 7,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Клименко Полина Александровна. ,"Врач - венеролог, дерматолог. ",Окончила Первый Московский государственный медицинский университет им. И.М.Сеченова,с 15 января 2012 ,,,,,,,,
Что надо знать про трихомониаз,http://www.happy-giraffe.ru/community/33/forum/post/31332/,+,+,http://www.happy-giraffe.ru/user/433829/,,,,,,,,,,,
Интересно и актуально: передается ли молочница мужчинам?,http://www.happy-giraffe.ru/community/33/forum/post/32520/,+,+,,,,,,,,,,,,
Сифилитическая сыпь: фото страшной болезни,http://www.happy-giraffe.ru/community/33/forum/post/50019/,+,+,,,,,,,,,,,,
Что такое сифилитическая сыпь и как она выглядит?,http://www.happy-giraffe.ru/community/33/forum/post/50652/,+,+,,,,,,,,,,,,
"Последствия молочницы, или чем чревато небрежное отношение к своему здоровью",http://www.happy-giraffe.ru/community/33/forum/post/54354/,+,+,,,,,,,,,,,,
Кандидозный кольпит: маркер неблагополучия состояния вашего здоровья,http://www.happy-giraffe.ru/community/33/forum/post/90621/,+,+,,,,,,,,,,,,
Хроническая гонорея у женщин: распознай скрытую угрозу вовремя!,http://www.happy-giraffe.ru/community/33/forum/post/90624/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Гастроэнтеролог (заболевания желудочно-кишечного тракта),Постов в рубрике: 30,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,,,,,,,,,,,,
Язва 12-перстной кишки: секрет выздоровления в определении причины,http://www.happy-giraffe.ru/community/33/forum/post/30702/,+,+,Рубцова Екатерина Александровна. ,"Врач - гастроэнтеролог, инфекционист . ","Окончила Минский государственный медицинский институт, лечебный факультет.",с 15 января 2012,,,,,,,,
Болезни желчного пузыря – какие виды бывают?,http://www.happy-giraffe.ru/community/33/forum/post/30825/,+,+,http://www.happy-giraffe.ru/user/433839/,,,,,,,,,,,
Спайки кишечника: лечение обязательно!,http://www.happy-giraffe.ru/community/33/forum/post/31639/,+,+,,,,,,,,,,,,
Панкреатит: это должен знать каждый!,http://www.happy-giraffe.ru/community/33/forum/post/32008/,+,+,,,,,,,,,,,,
Дивертикулез кишечника,http://www.happy-giraffe.ru/community/33/forum/post/32474/,+,+,,,,,,,,,,,,
На что указывает гастропатия эритематозная?,http://www.happy-giraffe.ru/community/33/forum/post/32483/,+,+,,,,,,,,,,,,
Все причины панкреатита,http://www.happy-giraffe.ru/community/33/forum/post/32541/,+,+,,,,,,,,,,,,
Кишечная непроходимость: промедление может стоить жизни,http://www.happy-giraffe.ru/community/33/forum/post/32683/,+,+,,,,,,,,,,,,
"Панкреатит, или воспаление поджелудочной железы",http://www.happy-giraffe.ru/community/33/forum/post/32790/,+,+,,,,,,,,,,,,
Повышенная кислотность желудка: симптомы и их облегчение,http://www.happy-giraffe.ru/community/33/forum/post/32832/,+,+,,,,,,,,,,,,
Что полезно знать про кислотность желудка,http://www.happy-giraffe.ru/community/33/forum/post/32950/,+,+,,,,,,,,,,,,
Желчный пузырь: заболевания и лечение,http://www.happy-giraffe.ru/community/33/forum/post/33251/,+,+,,,,,,,,,,,,
Запор: лечение хронического состояния,http://www.happy-giraffe.ru/community/33/forum/post/40358/,+,+,,,,,,,,,,,,
Метлой по органам или чистка организма,http://www.happy-giraffe.ru/community/33/forum/post/41582/,+,+,,,,,,,,,,,,
Подробно про гастрит с повышенной кислотностью,http://www.happy-giraffe.ru/community/33/forum/post/42002/,+,+,,,,,,,,,,,,
Повышенное газообразование в кишечнике – как его избежать?,http://www.happy-giraffe.ru/community/33/forum/post/45638/,+,+,,,,,,,,,,,,
Лечение поджелудочной железы при различных заболеваниях,http://www.happy-giraffe.ru/community/33/forum/post/49373/,+,+,,,,,,,,,,,,
Хронический панкреатит: обострение болезни,http://www.happy-giraffe.ru/community/33/forum/post/50971/,+,+,,,,,,,,,,,,
Диффузные изменения паренхимы поджелудочной железы или О чем нам рассказывает УЗИ,http://www.happy-giraffe.ru/community/33/forum/post/51009/,+,+,,,,,,,,,,,,
Метеоризм кишечника. Ответы на все вопросы,http://www.happy-giraffe.ru/community/33/forum/post/51781/,+,+,,,,,,,,,,,,
Лечение кишечника заключается в восстановлении микрофлоры,http://www.happy-giraffe.ru/community/33/forum/post/51797/,+,+,,,,,,,,,,,,
Восстановление микрофлоры кишечника или Когда организму нужна срочная помощь,http://www.happy-giraffe.ru/community/33/forum/post/53443/,+,+,,,,,,,,,,,,
"Что такое гастродуоденит, и как с ним бороться?",http://www.happy-giraffe.ru/community/33/forum/post/55397/,+,+,,,,,,,,,,,,
Что надо знать про заболевания кишечника,http://www.happy-giraffe.ru/community/33/forum/post/56736/,+,+,,,,,,,,,,,,
Лямблии – нежелательные гости в человеческом организме,http://www.happy-giraffe.ru/community/33/forum/post/93393/,+,+,,,,,,,,,,,,
"Загиб желчного пузыря: причины, симптомы и лечение",http://www.happy-giraffe.ru/community/33/forum/post/94747/,+,+,,,,,,,,,,,,
Каковы причины метеоризма?,http://www.happy-giraffe.ru/community/33/forum/post/95689/,+,+,,,,,,,,,,,,
Лямблиоз: жуткая правда о вашем организме,http://www.happy-giraffe.ru/community/33/forum/post/97124/,+,+,,,,,,,,,,,,
Несколько фактов о физиологических сужениях пищевода,http://www.happy-giraffe.ru/community/33/forum/post/98189/,+,+,,,,,,,,,,,,
Лечим кишечный иерсиниоз: больница или домашние рецепты?,http://www.happy-giraffe.ru/community/33/forum/post/100885/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Гематолог (заболевания крови),Постов в рубрике: 2,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,,,,,,,,,,,,
Основная информация про анемию,http://www.happy-giraffe.ru/community/33/forum/post/26099/,+,+,Баранова Оксана Федоровна  ,Врач - гематолог. Специалист высшей квалификационной категории. ,Окончила Рязанский государственный медицинский университет им. акад. И.П. Павлова,с 11 января 2015,,,,,,,,
Как разжижить вязкую кровь,http://www.happy-giraffe.ru/community/33/forum/post/28459/,+,+,http://www.happy-giraffe.ru/user/433894/,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Генетик (генетические патологии),Постов в рубрике: 1,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Краснощек Валентина Алексеевна,Врач - генетик,Окончила Московский государственный медико-стоматологический университет.,с 13 января 2012,,,,,,,,
Синдром Дауна: признаки и проявления,http://www.happy-giraffe.ru/community/33/forum/post/32957/,+,+,http://www.happy-giraffe.ru/user/433904/,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Гепатолог (заболевания печени),Постов в рубрике: 5,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Голубева Ирина Викторовна ,"Врач - терапевт, гепатолог, диетолог.",Окончила 2 Московский государственный медицинский институт.,с 15 января 2012,,,,,,,,
"Будьте здоровы, или Как проверить печень",http://www.happy-giraffe.ru/community/33/forum/post/31705/,+,+,http://www.happy-giraffe.ru/user/433649/,,,,,,,,,,,
Гепатоспленомегалия: лечить или подождать?,http://www.happy-giraffe.ru/community/33/forum/post/32012/,+,+,,,,,,,,,,,,
Синдром Жильбера: отвечаем на актуальные вопросы,http://www.happy-giraffe.ru/community/33/forum/post/32372/,+,+,,,,,,,,,,,,
Что означают диффузные изменения печени,http://www.happy-giraffe.ru/community/33/forum/post/46169/,+,+,,,,,,,,,,,,
Из-за чего образовывается и как лечится гемангиома печени?,http://www.happy-giraffe.ru/community/33/forum/post/49955/,+,+,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Гинеколог (заболевания женской половой сферы),Постов в рубрике: 125,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Верхнова Татьяна Андреевна,Врач -  гинеколог,Окончила - Российский государственный медицинский университет Педиатрический факультет Кафедры акушерства и гинекологии.,с 06 января 2012,,,,,,,,
Лидаза в гинекологии,http://www.happy-giraffe.ru/community/33/forum/post/6441/,+,+,http://www.happy-giraffe.ru/user/433909/,,,,,,,,,,,
Противозачаточный пластырь,http://www.happy-giraffe.ru/community/33/forum/post/9654/,+,+,,,,,,,,,,,,
Что означает эпителий в мазке у женщин?,http://www.happy-giraffe.ru/community/33/forum/post/21993/,+,+,,,,,,,,,,,,
Болит левый яичник – почему и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/22095/,+,+,,,,,,,,,,,,
Детская матка у взрослой женщины,http://www.happy-giraffe.ru/community/33/forum/post/22335/,+,+,,,,,,,,,,,,
SOS: мазня вместо месячных!,http://www.happy-giraffe.ru/community/33/forum/post/22363/,+,+,,,,,,,,,,,,
Что означают мультифолликулярные яичники?,http://www.happy-giraffe.ru/community/33/forum/post/22369/,+,+,,,,,,,,,,,,
Что обозначают творожистые выделения?,http://www.happy-giraffe.ru/community/33/forum/post/22387/,+,+,,,,,,,,,,,,
Кистозное изменение яичников: причины и лечение,http://www.happy-giraffe.ru/community/33/forum/post/22613/,+,+,,,,,,,,,,,,
Нерегулярные месячные: причины,http://www.happy-giraffe.ru/community/33/forum/post/22645/,+,+,,,,,,,,,,,,
Трещины на половых губах – что их вызывает?,http://www.happy-giraffe.ru/community/33/forum/post/23455/,+,+,,,,,,,,,,,,
Зуд и выделения у женщин – в чем проблема?,http://www.happy-giraffe.ru/community/33/forum/post/23459/,+,+,,,,,,,,,,,,
Как вызвать месячные и когда этого делать нельзя?,http://www.happy-giraffe.ru/community/33/forum/post/23637/,+,+,,,,,,,,,,,,
Спринцевание – как делать правильно?,http://www.happy-giraffe.ru/community/33/forum/post/24045/,+,+,,,,,,,,,,,,
Коричневые выделения в середине цикла – какова причина?,http://www.happy-giraffe.ru/community/33/forum/post/24129/,+,+,,,,,,,,,,,,
Белые выделения без запаха у женщин,http://www.happy-giraffe.ru/community/33/forum/post/24403/,+,+,,,,,,,,,,,,
Как лечат воспаление яичников,http://www.happy-giraffe.ru/community/33/forum/post/24731/,+,+,,,,,,,,,,,,
"Загиб матки: куда, зачем и что делать?",http://www.happy-giraffe.ru/community/33/forum/post/25181/,+,+,,,,,,,,,,,,
"Что делать, если вместо месячных коричневые выделения?",http://www.happy-giraffe.ru/community/33/forum/post/25227/,+,+,,,,,,,,,,,,
Для чего нужно спринцевание при молочнице?,http://www.happy-giraffe.ru/community/33/forum/post/25351/,+,+,,,,,,,,,,,,
Почему появляются кровяные выделения между месячными?,http://www.happy-giraffe.ru/community/33/forum/post/25395/,+,+,,,,,,,,,,,,
Почему могут быть розовые выделения,http://www.happy-giraffe.ru/community/33/forum/post/25747/,+,+,,,,,,,,,,,,
Эффективные упражнения при опущении матки,http://www.happy-giraffe.ru/community/33/forum/post/25767/,+,+,,,,,,,,,,,,
Когда появляются месячные после выскабливания,http://www.happy-giraffe.ru/community/33/forum/post/25893/,+,+,,,,,,,,,,,,
Выделения (мазня) перед месячными – нормально ли это?,http://www.happy-giraffe.ru/community/33/forum/post/25991/,+,+,,,,,,,,,,,,
"Зуд, жжение и белые выделения: норма или опасность?",http://www.happy-giraffe.ru/community/33/forum/post/25993/,+,+,,,,,,,,,,,,
Прогестерон понижен - причины и последствия,http://www.happy-giraffe.ru/community/33/forum/post/26085/,+,+,,,,,,,,,,,,
"«Мидиана» - противозачаточные таблетки, отзывы",http://www.happy-giraffe.ru/community/33/forum/post/26327/,+,+,,,,,,,,,,,,
Признаки ПМС – обыкновенное женское?,http://www.happy-giraffe.ru/community/33/forum/post/26417/,+,+,,,,,,,,,,,,
Что такое чистка матки?,http://www.happy-giraffe.ru/community/33/forum/post/26923/,+,+,,,,,,,,,,,,
Что такое гематометра?,http://www.happy-giraffe.ru/community/33/forum/post/27029/,+,+,,,,,,,,,,,,
"Задержка месячных, и нет беременности… А почему?",http://www.happy-giraffe.ru/community/33/forum/post/27195/,+,+,,,,,,,,,,,,
Каковы размеры матки в норме?,http://www.happy-giraffe.ru/community/33/forum/post/27229/,+,+,,,,,,,,,,,,
Причины скопления свободной жидкости в малом тазу,http://www.happy-giraffe.ru/community/33/forum/post/27233/,+,+,,,,,,,,,,,,
Имплантационное кровотечение или месячные?,http://www.happy-giraffe.ru/community/33/forum/post/27665/,+,+,,,,,,,,,,,,
"Что такое гипоплазия матки: причины, симптомы и диагностика",http://www.happy-giraffe.ru/community/33/forum/post/28189/,+,+,,,,,,,,,,,,
Что надо знать про параовариальную кисту?,http://www.happy-giraffe.ru/community/33/forum/post/28260/,+,+,,,,,,,,,,,,
Молочница при ГВ – опять или снова?,http://www.happy-giraffe.ru/community/33/forum/post/28795/,+,+,,,,,,,,,,,,
Как начинается климакс и как его пережить,http://www.happy-giraffe.ru/community/33/forum/post/28960/,+,+,,,,,,,,,,,,
Можно ли забеременеть во время месячных,http://www.happy-giraffe.ru/community/33/forum/post/29496/,+,+,,,,,,,,,,,,
Упражнения Кегеля: для беременных и всех остальных,http://www.happy-giraffe.ru/community/33/forum/post/30373/,+,+,,,,,,,,,,,,
"Выделения, как сопли: норма или опасность?",http://www.happy-giraffe.ru/community/33/forum/post/30416/,+,+,,,,,,,,,,,,
Синехии у девочек: чем раньше обнаружить — тем проще лечить,http://www.happy-giraffe.ru/community/33/forum/post/30529/,+,+,,,,,,,,,,,,
Как правильно спринцеваться: пошаговая инструкция,http://www.happy-giraffe.ru/community/33/forum/post/30560/,+,+,,,,,,,,,,,,
Задержка месячных и белые выделения – что значит эта комбинация?,http://www.happy-giraffe.ru/community/33/forum/post/30712/,+,+,,,,,,,,,,,,
О чем может «рассказать» шейка матки перед месячными,http://www.happy-giraffe.ru/community/33/forum/post/30798/,+,+,,,,,,,,,,,,
Месячные со сгустками? К врачу немедленно!,http://www.happy-giraffe.ru/community/33/forum/post/30965/,+,+,,,,,,,,,,,,
Операция по удалению матки – что ожидает впереди?,http://www.happy-giraffe.ru/community/33/forum/post/31339/,+,+,,,,,,,,,,,,
Дисплазия шейки матки – что это?,http://www.happy-giraffe.ru/community/33/forum/post/31491/,+,+,,,,,,,,,,,,
Киста яичника: лечение операционное и безоперационное,http://www.happy-giraffe.ru/community/33/forum/post/31512/,+,+,,,,,,,,,,,,
Воспаление в матке: отчего возникает и как лечится?,http://www.happy-giraffe.ru/community/33/forum/post/31549/,+,+,,,,,,,,,,,,
Что может значить скудная менструация?,http://www.happy-giraffe.ru/community/33/forum/post/31977/,+,+,,,,,,,,,,,,
Эрозия шейки матки: последствия лечения и бездействия,http://www.happy-giraffe.ru/community/33/forum/post/32017/,+,+,,,,,,,,,,,,
ПМС у женщин: загадка природы,http://www.happy-giraffe.ru/community/33/forum/post/32292/,+,+,,,,,,,,,,,,
Задержка месячных 2 дня,http://www.happy-giraffe.ru/community/33/forum/post/32305/,+,+,,,,,,,,,,,,
Микрофлора влагалища,http://www.happy-giraffe.ru/community/33/forum/post/32309/,+,+,,,,,,,,,,,,
Нерегулярный цикл месячных: 10 возможных причин,http://www.happy-giraffe.ru/community/33/forum/post/32538/,+,+,,,,,,,,,,,,
Из-за чего появляется молочница у взрослых?,http://www.happy-giraffe.ru/community/33/forum/post/32676/,+,+,,,,,,,,,,,,
Мазня после месячных: норма и патология,http://www.happy-giraffe.ru/community/33/forum/post/32772/,+,+,,,,,,,,,,,,
"Противозачаточные таблетки: вы спрашиваете, мы отвечаем",http://www.happy-giraffe.ru/community/33/forum/post/33268/,+,+,,,,,,,,,,,,
Киста шейки матки,http://www.happy-giraffe.ru/community/33/forum/post/33322/,+,+,,,,,,,,,,,,
Неприятный запах из влагалища – деликатная проблема,http://www.happy-giraffe.ru/community/33/forum/post/33629/,+,+,,,,,,,,,,,,
Миома матки: симптомы и особенности,http://www.happy-giraffe.ru/community/33/forum/post/40663/,+,+,,,,,,,,,,,,
"5 самых эффективных способов, как уменьшить боль при месячных",http://www.happy-giraffe.ru/community/33/forum/post/41371/,+,+,,,,,,,,,,,,
Цервицит: что это такое и чем он опасен,http://www.happy-giraffe.ru/community/33/forum/post/41431/,+,+,,,,,,,,,,,,
"Пластырь противозачаточный: эффективность, противопоказания и преимущества",http://www.happy-giraffe.ru/community/33/forum/post/41454/,+,+,,,,,,,,,,,,
На что указывают коричневые выделения перед месячными?,http://www.happy-giraffe.ru/community/33/forum/post/41575/,+,+,,,,,,,,,,,,
Почему идут кровянистые выделения в середине цикла?,http://www.happy-giraffe.ru/community/33/forum/post/41695/,+,+,,,,,,,,,,,,
Желтое тело на УЗИ: наглядное свидетельство репродуктивного возраста,http://www.happy-giraffe.ru/community/33/forum/post/43585/,+,+,,,,,,,,,,,,
Из-за чего бывают месячные два раза в месяц?,http://www.happy-giraffe.ru/community/33/forum/post/44692/,+,+,,,,,,,,,,,,
